State,Zip,Year,Month,Electricity Price,Gas Price,DFW_ZIPs,,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,75476,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75477,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75479,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75481,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75482,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75483,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75488,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75492,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75495,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75496,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75497,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75501,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75550,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75652,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75654,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75667,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75672,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75684,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75701,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75702,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75703,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75704,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75705,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75706,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75707,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75708,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75709,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75710,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75711,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75712,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75713,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75750,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75751,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75752,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75754,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75756,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75757,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75758,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75760,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75762,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75763,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75764,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75766,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75770,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75771,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75778,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75779,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75780,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75782,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75783,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75785,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75788,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75789,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75790,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75791,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75801,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75802,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75803,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75831,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75833,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75835,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75839,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75840,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75844,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75846,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75848,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75849,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75850,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75851,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75853,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75855,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75859,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75860,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75861,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75901,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75902,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75903,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75904,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75911,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75915,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75925,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75937,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75939,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75941,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75943,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75949,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75961,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75962,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75963,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75964,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75969,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75976,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,75980,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76001,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76002,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76004,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76006,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76008,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76009,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76010,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76011,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76012,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76013,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76014,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76015,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76016,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76018,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76020,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76022,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76028,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76031,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76033,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76034,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76035,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76036,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76039,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76040,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76041,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76044,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76048,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76049,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76050,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76051,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76052,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76053,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76054,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76055,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76058,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76059,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76060,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76063,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76064,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76065,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76066,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76067,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76068,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76071,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76073,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76078,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76081,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76082,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76083,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76084,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76085,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76086,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76087,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76088,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76092,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76098,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76101,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76102,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76103,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76104,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76105,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76106,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76107,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76108,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76109,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76110,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76111,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76112,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76113,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76114,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76115,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76116,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76117,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76118,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76119,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76120,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76123,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76126,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76127,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76129,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76131,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76132,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76133,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76134,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76135,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76137,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76140,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,76148,,,,,,,,,,,,,,,,,,,,,,,
