State,Zip,Year,Month,Electricity Price,Gas Price,HOU_Zips,,,,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,2021,Jan,0.139,1.961,77026,,,,,,,,,,,,,,,,,,,,,,
,,2021,Feb,0.143,2.106,77027,,,,,,,,,,,,,,,,,,,,,,
,,2021,Mar,0.144,2.465,77028,,,,,,,,,,,,,,,,,,,,,,
,,2021,Apr,0.141,2.555,77029,,,,,,,,,,,,,,,,,,,,,,
,,2021,May,0.138,2.59,77030,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jun,0.138,2.752,77031,,,,,,,,,,,,,,,,,,,,,,
,,2021,Jul,0.147,2.836,77032,,,,,,,,,,,,,,,,,,,,,,
,,2021,Aug,0.152,2.852,77033,,,,,,,,,,,,,,,,,,,,,,
,,2021,Sep,0.157,2.825,77034,,,,,,,,,,,,,,,,,,,,,,
,,2021,Oct,0.157,2.961,77035,,,,,,,,,,,,,,,,,,,,,,
,,2021,Nov,0.156,3.069,77036,,,,,,,,,,,,,,,,,,,,,,
,,2021,Dec,0.156,2.949,77037,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jan,0.138,2.933,77038,,,,,,,,,,,,,,,,,,,,,,
,,2022,Feb,0.148,3.169,77039,,,,,,,,,,,,,,,,,,,,,,
,,2022,Mar,0.141,3.91,77040,,,,,,,,,,,,,,,,,,,,,,
,,2022,Apr,0.141,3.856,77041,,,,,,,,,,,,,,,,,,,,,,
,,2022,May,0.188,4.191,77042,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jun,0.188,4.631,77043,,,,,,,,,,,,,,,,,,,,,,
,,2022,Jul,0.258,4.174,77044,,,,,,,,,,,,,,,,,,,,,,
,,2022,Aug,0.257,3.563,77045,,,,,,,,,,,,,,,,,,,,,,
,,2022,Sep,0.241,3.169,77046,,,,,,,,,,,,,,,,,,,,,,
,,2022,Oct,0.207,3.222,77047,,,,,,,,,,,,,,,,,,,,,,
,,2022,Nov,0.182,3.104,77048,,,,,,,,,,,,,,,,,,,,,,
,,2022,Dec,0.19,2.753,77049,,,,,,,,,,,,,,,,,,,,,,
,,2023,Jan,0.181,2.987,77050,,,,,,,,,,,,,,,,,,,,,,
,,2023,Feb,0.181,3.039,77051,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77053,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77054,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77055,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77056,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77057,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77058,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77059,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77060,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77061,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77062,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77063,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77064,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77065,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77066,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77067,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77068,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77069,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77070,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77071,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77072,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77073,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77074,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77075,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77076,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77077,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77078,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77079,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77080,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77081,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77082,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77083,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77084,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77085,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77086,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77087,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77088,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77089,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77090,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77091,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77092,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77093,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77094,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77095,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77096,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77098,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77099,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77302,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77336,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77338,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77339,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77345,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77346,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77354,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77355,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77356,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77357,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77362,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77365,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77373,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77375,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77379,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77380,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77381,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77382,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77384,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77385,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77386,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77388,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77389,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77396,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77401,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77414,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77417,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77418,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77420,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77422,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77423,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77429,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77430,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77433,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77434,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77435,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77437,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77441,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77444,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77445,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77447,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77449,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77450,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77456,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77459,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77461,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77468,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77469,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77471,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77474,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77477,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77478,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77479,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77480,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77482,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77484,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77485,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77486,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77488,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77489,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77493,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77494,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77502,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77503,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77504,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77505,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77506,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77507,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77510,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77511,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77515,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77517,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77518,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77520,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77521,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77530,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77531,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77532,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77534,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77535,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77536,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77539,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77541,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77545,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77546,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77547,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77550,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77551,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77554,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77562,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77563,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77565,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77566,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77568,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77571,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77573,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77575,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77577,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77578,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77581,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77583,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77584,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77586,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77587,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77590,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77591,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77597,,,,,,,,,,,,,,,,,,,,,,
,,,,,,77598,,,,,,,,,,,,,,,,,,,,,,
,,,,,,78933,,,,,,,,,,,,,,,,,,,,,,
