,State,Zip,Year,Month,Electricity Price,Gas Price
57,TX,75002,2019.0,Aug,0.142,2.335
58,TX,75002,2019.0,Sep,0.143,2.348
59,TX,75002,2019.0,Oct,0.143,2.249
60,TX,75002,2019.0,Nov,0.142,2.286
61,TX,75002,2019.0,Dec,0.142,2.214
62,TX,75002,2020.0,Jan,0.141,2.235
63,TX,75002,2020.0,Feb,0.137,2.054
64,TX,75002,2020.0,Mar,0.134,1.919
65,TX,75002,2020.0,Apr,0.134,1.417
66,TX,75002,2020.0,May,0.136,1.406
67,TX,75002,2020.0,Jun,0.136,1.722
68,TX,75002,2020.0,Jul,0.135,1.903
69,TX,75002,2020.0,Aug,0.133,1.869
70,TX,75002,2020.0,Sep,0.132,1.893
71,TX,75002,2020.0,Oct,0.132,1.833
72,TX,75002,2020.0,Nov,0.13,1.766
73,TX,75002,2020.0,Dec,0.13,1.885
74,TX,75002,2021.0,Jan,0.131,2.065
75,TX,75002,2021.0,Feb,0.131,2.196
76,TX,75002,2021.0,Mar,0.128,2.533
77,TX,75002,2021.0,Apr,0.127,2.485
78,TX,75002,2021.0,May,0.128,2.737
79,TX,75002,2021.0,Jun,0.129,2.836
80,TX,75002,2021.0,Jul,0.133,2.882
81,TX,75002,2021.0,Aug,0.144,2.894
82,TX,75002,2021.0,Sep,0.152,2.91
83,TX,75002,2021.0,Oct,0.153,3.033
84,TX,75002,2021.0,Nov,0.153,3.137
85,TX,75002,2021.0,Dec,0.154,3.015
86,TX,75002,2022.0,Jan,0.161,3.058
87,TX,75002,2022.0,Feb,0.162,3.288
88,TX,75002,2022.0,Mar,0.162,3.901
89,TX,75002,2022.0,Apr,0.162,3.816
90,TX,75002,2022.0,May,0.164,4.271
91,TX,75002,2022.0,Jun,0.174,4.748
92,TX,75002,2022.0,Jul,0.196,4.119
93,TX,75002,2022.0,Aug,0.196,3.511
94,TX,75002,2022.0,Sep,0.199,3.231
95,TX,75002,2022.0,Oct,0.199,3.268
96,TX,75002,2022.0,Nov,0.183,3.084
97,TX,75002,2022.0,Dec,0.183,2.782
98,TX,75002,2023.0,Jan,0.178,3.025
99,TX,75002,2023.0,Feb,0.178,3.055
100,TX,75006,2019.0,Jan,0.141,1.892
101,TX,75006,2019.0,Feb,0.141,2.031
102,TX,75006,2019.0,Mar,0.142,2.332
103,TX,75006,2019.0,Apr,0.142,2.602
104,TX,75006,2019.0,May,0.142,2.604
105,TX,75006,2019.0,Jun,0.142,2.399
106,TX,75006,2019.0,Jul,0.142,2.549
107,TX,75006,2019.0,Aug,0.142,2.335
108,TX,75006,2019.0,Sep,0.143,2.348
109,TX,75006,2019.0,Oct,0.143,2.249
110,TX,75006,2019.0,Nov,0.142,2.286
111,TX,75006,2019.0,Dec,0.142,2.214
112,TX,75006,2020.0,Jan,0.141,2.235
113,TX,75006,2020.0,Feb,0.137,2.054
114,TX,75006,2020.0,Mar,0.134,1.919
115,TX,75006,2020.0,Apr,0.134,1.417
116,TX,75006,2020.0,May,0.136,1.406
117,TX,75006,2020.0,Jun,0.136,1.722
118,TX,75006,2020.0,Jul,0.135,1.903
119,TX,75006,2020.0,Aug,0.133,1.869
120,TX,75006,2020.0,Sep,0.132,1.893
121,TX,75006,2020.0,Oct,0.132,1.833
122,TX,75006,2020.0,Nov,0.13,1.766
123,TX,75006,2020.0,Dec,0.13,1.885
124,TX,75006,2021.0,Jan,0.131,2.065
125,TX,75006,2021.0,Feb,0.131,2.196
126,TX,75006,2021.0,Mar,0.128,2.533
127,TX,75006,2021.0,Apr,0.127,2.485
128,TX,75006,2021.0,May,0.128,2.737
129,TX,75006,2021.0,Jun,0.129,2.836
130,TX,75006,2021.0,Jul,0.133,2.882
131,TX,75006,2021.0,Aug,0.144,2.894
132,TX,75006,2021.0,Sep,0.152,2.91
133,TX,75006,2021.0,Oct,0.153,3.033
134,TX,75006,2021.0,Nov,0.153,3.137
135,TX,75006,2021.0,Dec,0.154,3.015
136,TX,75006,2022.0,Jan,0.161,3.058
137,TX,75006,2022.0,Feb,0.162,3.288
138,TX,75006,2022.0,Mar,0.162,3.901
139,TX,75006,2022.0,Apr,0.162,3.816
140,TX,75006,2022.0,May,0.164,4.271
141,TX,75006,2022.0,Jun,0.174,4.748
142,TX,75006,2022.0,Jul,0.196,4.119
143,TX,75006,2022.0,Aug,0.196,3.511
144,TX,75006,2022.0,Sep,0.199,3.231
145,TX,75006,2022.0,Oct,0.199,3.268
146,TX,75006,2022.0,Nov,0.183,3.084
147,TX,75006,2022.0,Dec,0.183,2.782
148,TX,75006,2023.0,Jan,0.178,3.025
149,TX,75006,2023.0,Feb,0.178,3.055
150,TX,75007,2019.0,Jan,0.141,1.892
151,TX,75007,2019.0,Feb,0.141,2.031
152,TX,75007,2019.0,Mar,0.142,2.332
153,TX,75007,2019.0,Apr,0.142,2.602
154,TX,75007,2019.0,May,0.142,2.604
155,TX,75007,2019.0,Jun,0.142,2.399
156,TX,75007,2019.0,Jul,0.142,2.549
157,TX,75007,2019.0,Aug,0.142,2.335
158,TX,75007,2019.0,Sep,0.143,2.348
159,TX,75007,2019.0,Oct,0.143,2.249
160,TX,75007,2019.0,Nov,0.142,2.286
161,TX,75007,2019.0,Dec,0.142,2.214
162,TX,75007,2020.0,Jan,0.141,2.235
163,TX,75007,2020.0,Feb,0.137,2.054
164,TX,75007,2020.0,Mar,0.134,1.919
165,TX,75007,2020.0,Apr,0.134,1.417
166,TX,75007,2020.0,May,0.136,1.406
167,TX,75007,2020.0,Jun,0.136,1.722
168,TX,75007,2020.0,Jul,0.135,1.903
169,TX,75007,2020.0,Aug,0.133,1.869
170,TX,75007,2020.0,Sep,0.132,1.893
171,TX,75007,2020.0,Oct,0.132,1.833
172,TX,75007,2020.0,Nov,0.13,1.766
173,TX,75007,2020.0,Dec,0.13,1.885
174,TX,75007,2021.0,Jan,0.131,2.065
175,TX,75007,2021.0,Feb,0.131,2.196
176,TX,75007,2021.0,Mar,0.128,2.533
177,TX,75007,2021.0,Apr,0.127,2.485
178,TX,75007,2021.0,May,0.128,2.737
179,TX,75007,2021.0,Jun,0.129,2.836
180,TX,75007,2021.0,Jul,0.133,2.882
181,TX,75007,2021.0,Aug,0.144,2.894
182,TX,75007,2021.0,Sep,0.152,2.91
183,TX,75007,2021.0,Oct,0.153,3.033
184,TX,75007,2021.0,Nov,0.153,3.137
185,TX,75007,2021.0,Dec,0.154,3.015
186,TX,75007,2022.0,Jan,0.161,3.058
187,TX,75007,2022.0,Feb,0.162,3.288
188,TX,75007,2022.0,Mar,0.162,3.901
189,TX,75007,2022.0,Apr,0.162,3.816
190,TX,75007,2022.0,May,0.164,4.271
191,TX,75007,2022.0,Jun,0.174,4.748
192,TX,75007,2022.0,Jul,0.196,4.119
193,TX,75007,2022.0,Aug,0.196,3.511
194,TX,75007,2022.0,Sep,0.199,3.231
195,TX,75007,2022.0,Oct,0.199,3.268
196,TX,75007,2022.0,Nov,0.183,3.084
197,TX,75007,2022.0,Dec,0.183,2.782
198,TX,75007,2023.0,Jan,0.178,3.025
199,TX,75007,2023.0,Feb,0.178,3.055
200,TX,75009,2019.0,Jan,0.141,1.892
201,TX,75009,2019.0,Feb,0.141,2.031
202,TX,75009,2019.0,Mar,0.142,2.332
203,TX,75009,2019.0,Apr,0.142,2.602
204,TX,75009,2019.0,May,0.142,2.604
205,TX,75009,2019.0,Jun,0.142,2.399
206,TX,75009,2019.0,Jul,0.142,2.549
207,TX,75009,2019.0,Aug,0.142,2.335
208,TX,75009,2019.0,Sep,0.143,2.348
209,TX,75009,2019.0,Oct,0.143,2.249
210,TX,75009,2019.0,Nov,0.142,2.286
211,TX,75009,2019.0,Dec,0.142,2.214
212,TX,75009,2020.0,Jan,0.141,2.235
213,TX,75009,2020.0,Feb,0.137,2.054
214,TX,75009,2020.0,Mar,0.134,1.919
215,TX,75009,2020.0,Apr,0.134,1.417
216,TX,75009,2020.0,May,0.136,1.406
217,TX,75009,2020.0,Jun,0.136,1.722
218,TX,75009,2020.0,Jul,0.135,1.903
219,TX,75009,2020.0,Aug,0.133,1.869
220,TX,75009,2020.0,Sep,0.132,1.893
221,TX,75009,2020.0,Oct,0.132,1.833
222,TX,75009,2020.0,Nov,0.13,1.766
223,TX,75009,2020.0,Dec,0.13,1.885
224,TX,75009,2021.0,Jan,0.131,2.065
225,TX,75009,2021.0,Feb,0.131,2.196
226,TX,75009,2021.0,Mar,0.128,2.533
227,TX,75009,2021.0,Apr,0.127,2.485
228,TX,75009,2021.0,May,0.128,2.737
229,TX,75009,2021.0,Jun,0.129,2.836
230,TX,75009,2021.0,Jul,0.133,2.882
231,TX,75009,2021.0,Aug,0.144,2.894
232,TX,75009,2021.0,Sep,0.152,2.91
233,TX,75009,2021.0,Oct,0.153,3.033
234,TX,75009,2021.0,Nov,0.153,3.137
235,TX,75009,2021.0,Dec,0.154,3.015
236,TX,75009,2022.0,Jan,0.161,3.058
237,TX,75009,2022.0,Feb,0.162,3.288
238,TX,75009,2022.0,Mar,0.162,3.901
239,TX,75009,2022.0,Apr,0.162,3.816
240,TX,75009,2022.0,May,0.164,4.271
241,TX,75009,2022.0,Jun,0.174,4.748
242,TX,75009,2022.0,Jul,0.196,4.119
243,TX,75009,2022.0,Aug,0.196,3.511
244,TX,75009,2022.0,Sep,0.199,3.231
245,TX,75009,2022.0,Oct,0.199,3.268
246,TX,75009,2022.0,Nov,0.183,3.084
247,TX,75009,2022.0,Dec,0.183,2.782
248,TX,75009,2023.0,Jan,0.178,3.025
249,TX,75009,2023.0,Feb,0.178,3.055
250,TX,75010,2019.0,Jan,0.141,1.892
251,TX,75010,2019.0,Feb,0.141,2.031
252,TX,75010,2019.0,Mar,0.142,2.332
253,TX,75010,2019.0,Apr,0.142,2.602
254,TX,75010,2019.0,May,0.142,2.604
255,TX,75010,2019.0,Jun,0.142,2.399
256,TX,75010,2019.0,Jul,0.142,2.549
257,TX,75010,2019.0,Aug,0.142,2.335
258,TX,75010,2019.0,Sep,0.143,2.348
259,TX,75010,2019.0,Oct,0.143,2.249
260,TX,75010,2019.0,Nov,0.142,2.286
261,TX,75010,2019.0,Dec,0.142,2.214
262,TX,75010,2020.0,Jan,0.141,2.235
263,TX,75010,2020.0,Feb,0.137,2.054
264,TX,75010,2020.0,Mar,0.134,1.919
265,TX,75010,2020.0,Apr,0.134,1.417
266,TX,75010,2020.0,May,0.136,1.406
267,TX,75010,2020.0,Jun,0.136,1.722
268,TX,75010,2020.0,Jul,0.135,1.903
269,TX,75010,2020.0,Aug,0.133,1.869
270,TX,75010,2020.0,Sep,0.132,1.893
271,TX,75010,2020.0,Oct,0.132,1.833
272,TX,75010,2020.0,Nov,0.13,1.766
273,TX,75010,2020.0,Dec,0.13,1.885
274,TX,75010,2021.0,Jan,0.131,2.065
275,TX,75010,2021.0,Feb,0.131,2.196
276,TX,75010,2021.0,Mar,0.128,2.533
277,TX,75010,2021.0,Apr,0.127,2.485
278,TX,75010,2021.0,May,0.128,2.737
279,TX,75010,2021.0,Jun,0.129,2.836
280,TX,75010,2021.0,Jul,0.133,2.882
281,TX,75010,2021.0,Aug,0.144,2.894
282,TX,75010,2021.0,Sep,0.152,2.91
283,TX,75010,2021.0,Oct,0.153,3.033
284,TX,75010,2021.0,Nov,0.153,3.137
285,TX,75010,2021.0,Dec,0.154,3.015
286,TX,75010,2022.0,Jan,0.161,3.058
287,TX,75010,2022.0,Feb,0.162,3.288
288,TX,75010,2022.0,Mar,0.162,3.901
289,TX,75010,2022.0,Apr,0.162,3.816
290,TX,75010,2022.0,May,0.164,4.271
291,TX,75010,2022.0,Jun,0.174,4.748
292,TX,75010,2022.0,Jul,0.196,4.119
293,TX,75010,2022.0,Aug,0.196,3.511
294,TX,75010,2022.0,Sep,0.199,3.231
295,TX,75010,2022.0,Oct,0.199,3.268
296,TX,75010,2022.0,Nov,0.183,3.084
297,TX,75010,2022.0,Dec,0.183,2.782
298,TX,75010,2023.0,Jan,0.178,3.025
299,TX,75010,2023.0,Feb,0.178,3.055
300,TX,75011,2019.0,Jan,0.141,1.892
301,TX,75011,2019.0,Feb,0.141,2.031
302,TX,75011,2019.0,Mar,0.142,2.332
303,TX,75011,2019.0,Apr,0.142,2.602
304,TX,75011,2019.0,May,0.142,2.604
305,TX,75011,2019.0,Jun,0.142,2.399
306,TX,75011,2019.0,Jul,0.142,2.549
307,TX,75011,2019.0,Aug,0.142,2.335
308,TX,75011,2019.0,Sep,0.143,2.348
309,TX,75011,2019.0,Oct,0.143,2.249
310,TX,75011,2019.0,Nov,0.142,2.286
311,TX,75011,2019.0,Dec,0.142,2.214
312,TX,75011,2020.0,Jan,0.141,2.235
313,TX,75011,2020.0,Feb,0.137,2.054
314,TX,75011,2020.0,Mar,0.134,1.919
315,TX,75011,2020.0,Apr,0.134,1.417
316,TX,75011,2020.0,May,0.136,1.406
317,TX,75011,2020.0,Jun,0.136,1.722
318,TX,75011,2020.0,Jul,0.135,1.903
319,TX,75011,2020.0,Aug,0.133,1.869
320,TX,75011,2020.0,Sep,0.132,1.893
321,TX,75011,2020.0,Oct,0.132,1.833
322,TX,75011,2020.0,Nov,0.13,1.766
323,TX,75011,2020.0,Dec,0.13,1.885
324,TX,75011,2021.0,Jan,0.131,2.065
325,TX,75011,2021.0,Feb,0.131,2.196
326,TX,75011,2021.0,Mar,0.128,2.533
327,TX,75011,2021.0,Apr,0.127,2.485
328,TX,75011,2021.0,May,0.128,2.737
329,TX,75011,2021.0,Jun,0.129,2.836
330,TX,75011,2021.0,Jul,0.133,2.882
331,TX,75011,2021.0,Aug,0.144,2.894
332,TX,75011,2021.0,Sep,0.152,2.91
333,TX,75011,2021.0,Oct,0.153,3.033
334,TX,75011,2021.0,Nov,0.153,3.137
335,TX,75011,2021.0,Dec,0.154,3.015
336,TX,75011,2022.0,Jan,0.161,3.058
337,TX,75011,2022.0,Feb,0.162,3.288
338,TX,75011,2022.0,Mar,0.162,3.901
339,TX,75011,2022.0,Apr,0.162,3.816
340,TX,75011,2022.0,May,0.164,4.271
341,TX,75011,2022.0,Jun,0.174,4.748
342,TX,75011,2022.0,Jul,0.196,4.119
343,TX,75011,2022.0,Aug,0.196,3.511
344,TX,75011,2022.0,Sep,0.199,3.231
345,TX,75011,2022.0,Oct,0.199,3.268
346,TX,75011,2022.0,Nov,0.183,3.084
347,TX,75011,2022.0,Dec,0.183,2.782
348,TX,75011,2023.0,Jan,0.178,3.025
349,TX,75011,2023.0,Feb,0.178,3.055
350,TX,75013,2019.0,Jan,0.141,1.892
351,TX,75013,2019.0,Feb,0.141,2.031
352,TX,75013,2019.0,Mar,0.142,2.332
353,TX,75013,2019.0,Apr,0.142,2.602
354,TX,75013,2019.0,May,0.142,2.604
355,TX,75013,2019.0,Jun,0.142,2.399
356,TX,75013,2019.0,Jul,0.142,2.549
357,TX,75013,2019.0,Aug,0.142,2.335
358,TX,75013,2019.0,Sep,0.143,2.348
359,TX,75013,2019.0,Oct,0.143,2.249
360,TX,75013,2019.0,Nov,0.142,2.286
361,TX,75013,2019.0,Dec,0.142,2.214
362,TX,75013,2020.0,Jan,0.141,2.235
363,TX,75013,2020.0,Feb,0.137,2.054
364,TX,75013,2020.0,Mar,0.134,1.919
365,TX,75013,2020.0,Apr,0.134,1.417
366,TX,75013,2020.0,May,0.136,1.406
367,TX,75013,2020.0,Jun,0.136,1.722
368,TX,75013,2020.0,Jul,0.135,1.903
369,TX,75013,2020.0,Aug,0.133,1.869
370,TX,75013,2020.0,Sep,0.132,1.893
371,TX,75013,2020.0,Oct,0.132,1.833
372,TX,75013,2020.0,Nov,0.13,1.766
373,TX,75013,2020.0,Dec,0.13,1.885
374,TX,75013,2021.0,Jan,0.131,2.065
375,TX,75013,2021.0,Feb,0.131,2.196
376,TX,75013,2021.0,Mar,0.128,2.533
377,TX,75013,2021.0,Apr,0.127,2.485
378,TX,75013,2021.0,May,0.128,2.737
379,TX,75013,2021.0,Jun,0.129,2.836
380,TX,75013,2021.0,Jul,0.133,2.882
381,TX,75013,2021.0,Aug,0.144,2.894
382,TX,75013,2021.0,Sep,0.152,2.91
383,TX,75013,2021.0,Oct,0.153,3.033
384,TX,75013,2021.0,Nov,0.153,3.137
385,TX,75013,2021.0,Dec,0.154,3.015
386,TX,75013,2022.0,Jan,0.161,3.058
387,TX,75013,2022.0,Feb,0.162,3.288
388,TX,75013,2022.0,Mar,0.162,3.901
389,TX,75013,2022.0,Apr,0.162,3.816
390,TX,75013,2022.0,May,0.164,4.271
391,TX,75013,2022.0,Jun,0.174,4.748
392,TX,75013,2022.0,Jul,0.196,4.119
393,TX,75013,2022.0,Aug,0.196,3.511
394,TX,75013,2022.0,Sep,0.199,3.231
395,TX,75013,2022.0,Oct,0.199,3.268
396,TX,75013,2022.0,Nov,0.183,3.084
397,TX,75013,2022.0,Dec,0.183,2.782
398,TX,75013,2023.0,Jan,0.178,3.025
399,TX,75013,2023.0,Feb,0.178,3.055
400,TX,75015,2019.0,Jan,0.141,1.892
401,TX,75015,2019.0,Feb,0.141,2.031
402,TX,75015,2019.0,Mar,0.142,2.332
403,TX,75015,2019.0,Apr,0.142,2.602
404,TX,75015,2019.0,May,0.142,2.604
405,TX,75015,2019.0,Jun,0.142,2.399
406,TX,75015,2019.0,Jul,0.142,2.549
407,TX,75015,2019.0,Aug,0.142,2.335
408,TX,75015,2019.0,Sep,0.143,2.348
409,TX,75015,2019.0,Oct,0.143,2.249
410,TX,75015,2019.0,Nov,0.142,2.286
411,TX,75015,2019.0,Dec,0.142,2.214
412,TX,75015,2020.0,Jan,0.141,2.235
413,TX,75015,2020.0,Feb,0.137,2.054
414,TX,75015,2020.0,Mar,0.134,1.919
415,TX,75015,2020.0,Apr,0.134,1.417
416,TX,75015,2020.0,May,0.136,1.406
417,TX,75015,2020.0,Jun,0.136,1.722
418,TX,75015,2020.0,Jul,0.135,1.903
419,TX,75015,2020.0,Aug,0.133,1.869
420,TX,75015,2020.0,Sep,0.132,1.893
421,TX,75015,2020.0,Oct,0.132,1.833
422,TX,75015,2020.0,Nov,0.13,1.766
423,TX,75015,2020.0,Dec,0.13,1.885
424,TX,75015,2021.0,Jan,0.131,2.065
425,TX,75015,2021.0,Feb,0.131,2.196
426,TX,75015,2021.0,Mar,0.128,2.533
427,TX,75015,2021.0,Apr,0.127,2.485
428,TX,75015,2021.0,May,0.128,2.737
429,TX,75015,2021.0,Jun,0.129,2.836
430,TX,75015,2021.0,Jul,0.133,2.882
431,TX,75015,2021.0,Aug,0.144,2.894
432,TX,75015,2021.0,Sep,0.152,2.91
433,TX,75015,2021.0,Oct,0.153,3.033
434,TX,75015,2021.0,Nov,0.153,3.137
435,TX,75015,2021.0,Dec,0.154,3.015
436,TX,75015,2022.0,Jan,0.161,3.058
437,TX,75015,2022.0,Feb,0.162,3.288
438,TX,75015,2022.0,Mar,0.162,3.901
439,TX,75015,2022.0,Apr,0.162,3.816
440,TX,75015,2022.0,May,0.164,4.271
441,TX,75015,2022.0,Jun,0.174,4.748
442,TX,75015,2022.0,Jul,0.196,4.119
443,TX,75015,2022.0,Aug,0.196,3.511
444,TX,75015,2022.0,Sep,0.199,3.231
445,TX,75015,2022.0,Oct,0.199,3.268
446,TX,75015,2022.0,Nov,0.183,3.084
447,TX,75015,2022.0,Dec,0.183,2.782
448,TX,75015,2023.0,Jan,0.178,3.025
449,TX,75015,2023.0,Feb,0.178,3.055
450,TX,75016,2019.0,Jan,0.141,1.892
451,TX,75016,2019.0,Feb,0.141,2.031
452,TX,75016,2019.0,Mar,0.142,2.332
453,TX,75016,2019.0,Apr,0.142,2.602
454,TX,75016,2019.0,May,0.142,2.604
455,TX,75016,2019.0,Jun,0.142,2.399
456,TX,75016,2019.0,Jul,0.142,2.549
457,TX,75016,2019.0,Aug,0.142,2.335
458,TX,75016,2019.0,Sep,0.143,2.348
459,TX,75016,2019.0,Oct,0.143,2.249
460,TX,75016,2019.0,Nov,0.142,2.286
461,TX,75016,2019.0,Dec,0.142,2.214
462,TX,75016,2020.0,Jan,0.141,2.235
463,TX,75016,2020.0,Feb,0.137,2.054
464,TX,75016,2020.0,Mar,0.134,1.919
465,TX,75016,2020.0,Apr,0.134,1.417
466,TX,75016,2020.0,May,0.136,1.406
467,TX,75016,2020.0,Jun,0.136,1.722
468,TX,75016,2020.0,Jul,0.135,1.903
469,TX,75016,2020.0,Aug,0.133,1.869
470,TX,75016,2020.0,Sep,0.132,1.893
471,TX,75016,2020.0,Oct,0.132,1.833
472,TX,75016,2020.0,Nov,0.13,1.766
473,TX,75016,2020.0,Dec,0.13,1.885
474,TX,75016,2021.0,Jan,0.131,2.065
475,TX,75016,2021.0,Feb,0.131,2.196
476,TX,75016,2021.0,Mar,0.128,2.533
477,TX,75016,2021.0,Apr,0.127,2.485
478,TX,75016,2021.0,May,0.128,2.737
479,TX,75016,2021.0,Jun,0.129,2.836
480,TX,75016,2021.0,Jul,0.133,2.882
481,TX,75016,2021.0,Aug,0.144,2.894
482,TX,75016,2021.0,Sep,0.152,2.91
483,TX,75016,2021.0,Oct,0.153,3.033
484,TX,75016,2021.0,Nov,0.153,3.137
485,TX,75016,2021.0,Dec,0.154,3.015
486,TX,75016,2022.0,Jan,0.161,3.058
487,TX,75016,2022.0,Feb,0.162,3.288
488,TX,75016,2022.0,Mar,0.162,3.901
489,TX,75016,2022.0,Apr,0.162,3.816
490,TX,75016,2022.0,May,0.164,4.271
491,TX,75016,2022.0,Jun,0.174,4.748
492,TX,75016,2022.0,Jul,0.196,4.119
493,TX,75016,2022.0,Aug,0.196,3.511
494,TX,75016,2022.0,Sep,0.199,3.231
495,TX,75016,2022.0,Oct,0.199,3.268
496,TX,75016,2022.0,Nov,0.183,3.084
497,TX,75016,2022.0,Dec,0.183,2.782
498,TX,75016,2023.0,Jan,0.178,3.025
499,TX,75016,2023.0,Feb,0.178,3.055
500,TX,75019,2019.0,Jan,0.141,1.892
501,TX,75019,2019.0,Feb,0.141,2.031
502,TX,75019,2019.0,Mar,0.142,2.332
503,TX,75019,2019.0,Apr,0.142,2.602
504,TX,75019,2019.0,May,0.142,2.604
505,TX,75019,2019.0,Jun,0.142,2.399
506,TX,75019,2019.0,Jul,0.142,2.549
507,TX,75019,2019.0,Aug,0.142,2.335
508,TX,75019,2019.0,Sep,0.143,2.348
509,TX,75019,2019.0,Oct,0.143,2.249
510,TX,75019,2019.0,Nov,0.142,2.286
511,TX,75019,2019.0,Dec,0.142,2.214
512,TX,75019,2020.0,Jan,0.141,2.235
513,TX,75019,2020.0,Feb,0.137,2.054
514,TX,75019,2020.0,Mar,0.134,1.919
515,TX,75019,2020.0,Apr,0.134,1.417
516,TX,75019,2020.0,May,0.136,1.406
517,TX,75019,2020.0,Jun,0.136,1.722
518,TX,75019,2020.0,Jul,0.135,1.903
519,TX,75019,2020.0,Aug,0.133,1.869
520,TX,75019,2020.0,Sep,0.132,1.893
521,TX,75019,2020.0,Oct,0.132,1.833
522,TX,75019,2020.0,Nov,0.13,1.766
523,TX,75019,2020.0,Dec,0.13,1.885
524,TX,75019,2021.0,Jan,0.131,2.065
525,TX,75019,2021.0,Feb,0.131,2.196
526,TX,75019,2021.0,Mar,0.128,2.533
527,TX,75019,2021.0,Apr,0.127,2.485
528,TX,75019,2021.0,May,0.128,2.737
529,TX,75019,2021.0,Jun,0.129,2.836
530,TX,75019,2021.0,Jul,0.133,2.882
531,TX,75019,2021.0,Aug,0.144,2.894
532,TX,75019,2021.0,Sep,0.152,2.91
533,TX,75019,2021.0,Oct,0.153,3.033
534,TX,75019,2021.0,Nov,0.153,3.137
535,TX,75019,2021.0,Dec,0.154,3.015
536,TX,75019,2022.0,Jan,0.161,3.058
537,TX,75019,2022.0,Feb,0.162,3.288
538,TX,75019,2022.0,Mar,0.162,3.901
539,TX,75019,2022.0,Apr,0.162,3.816
540,TX,75019,2022.0,May,0.164,4.271
541,TX,75019,2022.0,Jun,0.174,4.748
542,TX,75019,2022.0,Jul,0.196,4.119
543,TX,75019,2022.0,Aug,0.196,3.511
544,TX,75019,2022.0,Sep,0.199,3.231
545,TX,75019,2022.0,Oct,0.199,3.268
546,TX,75019,2022.0,Nov,0.183,3.084
547,TX,75019,2022.0,Dec,0.183,2.782
548,TX,75019,2023.0,Jan,0.178,3.025
549,TX,75019,2023.0,Feb,0.178,3.055
550,TX,75020,2019.0,Jan,0.141,1.892
551,TX,75020,2019.0,Feb,0.141,2.031
552,TX,75020,2019.0,Mar,0.142,2.332
553,TX,75020,2019.0,Apr,0.142,2.602
554,TX,75020,2019.0,May,0.142,2.604
555,TX,75020,2019.0,Jun,0.142,2.399
556,TX,75020,2019.0,Jul,0.142,2.549
557,TX,75020,2019.0,Aug,0.142,2.335
558,TX,75020,2019.0,Sep,0.143,2.348
559,TX,75020,2019.0,Oct,0.143,2.249
560,TX,75020,2019.0,Nov,0.142,2.286
